100000 200000
28357 53995 99462
33559 82090 89878
65600 1487 150714
69110 46586 101096
55662 41403 54204
60223 59419 89491
83475 76061 123108
10021 77789 162690
37277 27162 188338
8858 22344 109138
53313 23337 131064
55631 13198 173178
13964 38606 145601
57560 13068 35735
84262 93681 196061
25710 39784 514
89171 94644 123139
91841 57620 194156
33303 34003 50377
60822 54438 37279
31787 76411 72007
57016 77385 178607
42783 27032 159020
96310 1349 7740
24084 16379 29039
27087 55758 140972
36841 13948 99154
45895 31825 111726
44750 5610 140257
64230 45921 183986
93196 2386 17799
96220 18274 102271
87719 76501 198603
48053 49818 183334
10752 80408 70938
64097 78806 177831
77250 59528 114735
77926 60969 94581
58607 53100 40800
80011 64473 149787
71955 7144 24243
74648 39089 33205
40402 59977 181546
76502 56164 9751
29199 78338 151513
58022 29293 61514
25808 26019 167333
5054 97849 6000
56251 43441 126603
63143 74931 191596
42248 10352 97760
58604 62476 154131
5388 10315 123924
47784 67046 155466
80623 30030 166543
88382 24017 61846
68000 58724 190383
53090 63846 97007
20523 39478 152544
90501 7821 121686
66611 71090 92030
90360 74334 161108
77022 65184 187414
95778 53065 171556
71879 17129 193866
66352 86758 132593
4506 12863 43664
83903 61308 157250
33345 4848 192763
24499 17669 64271
27403 52328 141908
74153 85488 193984
6530 54026 59066
77714 5657 42136
26606 73956 121484
85217 38686 197556
59264 95627 46262
83141 59233 103526
18649 8558 184138
80636 12509 168020
30881 52848 67521
5188 71512 158454
98384 67330 188438
57736 56237 21696
3982 32493 116810
31506 52029 94812
78704 11291 161948
15224 21698 136284
34828 20413 186811
18949 22425 23857
77021 80292 15573
23265 1836 30186
30489 30351 183104
70298 64840 9861
28274 55899 80842
14086 84813 95029
39564 96299 148106
9868 66984 76231
61246 6871 142760
10693 91214 77040
82768 42657 75544
78337 14288 85305
61144 96908 199131
1424 54042 4260
68645 40289 145463
47018 83592 123771
50649 9469 72083
7327 56929 194948
41397 36721 187993
49718 94429 24032
28417 21347 91252
43160 49866 49541
33062 22311 161530
74975 62867 9929
72811 53360 17562
19717 71254 79140
24081 66026 73635
85203 54387 158622
83245 17392 151595
16497 47557 119366
